zone_id,zone_name,lat,lon
0,Times Square,40.758,-73.9855
1,Central Park,40.7678,-73.9718
2,Empire State Building,40.7484,-73.9857
3,Brooklyn Bridge,40.7061,-73.9969
4,Statue of Liberty Ferry,40.7033,-74.017
5,Rockefeller Center,40.7587,-73.9787
6,One World Trade Center,40.7127,-74.0134
7,Metropolitan Museum of Art,40.7794,-73.9632
8,Grand Central Terminal,40.7527,-73.9772
9,MoMA,40.7614,-73.9776
10,Roosevelt Island Tram,40.7614,-73.9496
11,Hudson River Kayaking,40.728,-74.011
12,The High Line,40.7479,-74.0049
